employee_id,first_name,last_name,department,orders_handled,revenue
2,Kathy,Parker,Sales,48,93179.41
14,Melissa,Collins,Management,33,78838.93
4,Michael,Mckinney,Marketing,35,65130.83
12,Savannah,May,Logistics,31,62844.63
9,Jason,Kelley,Finance,33,60489.0
11,Julia,Carey,Human Resources,35,59548.95
15,Gail,Brown,Management,29,53422.61
13,Elizabeth,Thomas,Logistics,34,51655.72
5,Adrian,Mitchell,Customer Service,42,49953.53
1,Paul,Sutton,Sales,32,49780.63
10,Matthew,Shaffer,Finance,34,45633.07
6,Eric,Ferguson,Customer Service,26,45352.42
7,Matthew,Maldonado,IT,32,42397.47
8,Brittany,Barnett,IT,24,36136.69
3,Heather,Alvarado,Sales,32,33227.89
